segment_id,road_name,artery,highway,length_m,oneway,avg_congestion,avg_speed_kmh,avg_vehicles,mid_lat,mid_lon,congestion_band,band_colour
10149214636_312835189,Ferreira Avenue,Other,residential,44.57964389519508,0,0.2725,44.96,28.0,-17.826741,31.048245,Free flow,#1D9E75
10149214636_6167389641,,Other,residential,111.76835795068396,0,0.2606,45.62,27.0,-17.832131,31.04591,Free flow,#1D9E75
10149214636_7403952913,Ferreira Avenue,Other,residential,193.2448992121711,0,0.3107,42.85,32.0,-17.825459,31.033698,Moderate,#BA7517
10199107339_283453888,Leopold Takawira Street,Other,residential,292.91699767165574,0,0.286,44.21,29.0,-17.818029,31.053522,Free flow,#1D9E75
10279500489_6162569922,,Other,residential,168.43690416862609,0,0.2842,44.32,29.0,-17.832944,31.072067,Free flow,#1D9E75
10279500497_6162569923,,Other,residential,166.58770953233653,0,0.2948,43.73,29.0,-17.832944,31.055186,Free flow,#1D9E75
10595551312_10713336269,,Other,residential,133.76022403279296,0,0.2748,44.83,28.0,-17.817552,31.052319,Free flow,#1D9E75
10595551312_282780261,Samora Machel Avenue,Samora Machel Ave,trunk,59.56340692564743,1,0.4571,34.79,71.0,-17.824443,31.055614,Moderate,#BA7517
10660592559_282774299,Samora Machel Avenue,Samora Machel Ave,trunk,120.86604188340344,1,0.3819,38.94,60.0,-17.834942,31.052426,Moderate,#BA7517
10660592559_282780136,,Other,residential,66.44625319932054,0,0.2827,44.39,28.0,-17.826351,31.044755,Free flow,#1D9E75
10687747350_6165200950,,Other,residential,81.4365948091152,0,0.2654,45.35,28.0,-17.834891,31.060408,Free flow,#1D9E75
10687747352_10687747358,,Other,residential,96.20990994460188,0,0.265,45.37,28.0,-17.83491,31.054692,Free flow,#1D9E75
10687747352_312553587,Jampies Street,Other,residential,51.66926783674758,0,0.2718,44.99,28.0,-17.828903,31.052701,Free flow,#1D9E75
10687747352_312553590,Jampies Street,Other,residential,62.65043827110336,0,0.3087,42.96,32.0,-17.847197,31.043202,Moderate,#BA7517
10687747358_10687747352,,Other,residential,96.20990994460188,0,0.2802,44.53,29.0,-17.845599,31.065002,Free flow,#1D9E75
10687747358_2817102222,Arcadia Square,Other,residential,64.8323647899137,0,0.2703,45.08,27.0,-17.83573,31.058891,Free flow,#1D9E75
10687747358_312559712,Arcadia Square,Other,residential,99.072405018357,0,0.2866,44.18,29.0,-17.839554,31.047243,Free flow,#1D9E75
10713336269_10595551312,,Other,residential,133.76022403279296,0,0.2871,44.15,30.0,-17.828289,31.062116,Free flow,#1D9E75
10713336269_281624889,Kwame Nkrumah (Union) Avenue,Kwame Nkrumah Ave,residential,53.26392250764129,0,0.3758,39.27,52.0,-17.838665,31.047773,Moderate,#BA7517
10713336269_282780264,Kwame Nkrumah (Union) Avenue,Kwame Nkrumah Ave,residential,64.29823050842604,0,0.3771,39.19,52.0,-17.842945,31.045052,Moderate,#BA7517
1093597747_281618897,Kaguvi Street,Other,unclassified,25.011852019364387,1,0.274,44.87,28.0,-17.818516,31.045265,Free flow,#1D9E75
1093597747_315749118,Fidel Castro Road,Other,secondary,13.467096423024776,1,0.2797,44.56,28.0,-17.832873,31.03559,Free flow,#1D9E75
10993682387_10993682388,,Other,residential,47.85044482982635,0,0.292,43.88,30.0,-17.830384,31.057043,Free flow,#1D9E75
10993682388_10993682387,,Other,residential,47.85044482982635,0,0.2706,45.06,28.0,-17.843051,31.035016,Free flow,#1D9E75
10993682388_282779755,Tenth Street,Other,residential,83.00941070101169,0,0.2722,44.98,27.0,-17.835578,31.040781,Free flow,#1D9E75
10993682388_282779756,Tenth Street,Other,residential,76.29727262809031,0,0.262,45.54,28.0,-17.830015,31.032677,Free flow,#1D9E75
10993682389_10993682393,,Other,residential,82.23630440499942,0,0.2926,43.85,30.0,-17.840727,31.051709,Free flow,#1D9E75
10993682393_10993682389,,Other,residential,82.23630440499942,0,0.2799,44.55,29.0,-17.827768,31.051094,Free flow,#1D9E75
10993682393_282779551,Ninth Street,Other,residential,75.99401487241184,0,0.2458,46.43,25.0,-17.836055,31.049407,Free flow,#1D9E75
10993682393_282779740,Ninth Street,Other,residential,83.91770047381956,0,0.2721,44.98,28.0,-17.833433,31.042559,Free flow,#1D9E75
11096423324_11096423331,,Other,residential,8.802410687936725,0,0.3153,42.6,32.0,-17.836064,31.041319,Moderate,#BA7517
11096423331_11096423324,,Other,residential,8.802410687936725,0,0.2719,44.99,29.0,-17.815234,31.056975,Free flow,#1D9E75
11096423331_317039836,Cambridge Avenue,Other,residential,149.90483351722293,0,0.2815,44.46,29.0,-17.831071,31.047266,Free flow,#1D9E75
11096423331_317050141,Cambridge Avenue,Other,residential,129.76404448302574,0,0.286,44.21,30.0,-17.839935,31.055559,Free flow,#1D9E75
11096588496_275393969,King George Road,Other,secondary,53.04909176884104,0,0.2625,45.51,27.0,-17.823975,31.044064,Free flow,#1D9E75
11118124885_281618829,Kaguvi Street,Other,unclassified,4.496320061574555,0,0.2761,44.76,28.0,-17.84132,31.054265,Free flow,#1D9E75
11118124885_282780460,Kaguvi Street,Other,unclassified,122.15520425130649,0,0.2653,45.36,27.0,-17.829184,31.065,Free flow,#1D9E75
11118124885_282780478,,Other,residential,89.57297374843624,0,0.2948,43.73,30.0,-17.847591,31.05814,Free flow,#1D9E75
11118386824_11118386828,,Other,residential,170.02987881237448,0,0.2765,44.74,28.0,-17.842231,31.048587,Free flow,#1D9E75
11118386828_11118386824,,Other,residential,170.02987881237448,0,0.2988,43.51,30.0,-17.829286,31.054993,Free flow,#1D9E75
11118386828_7403954625,,Other,residential,63.01023049278305,0,0.2943,43.75,30.0,-17.824689,31.05023,Free flow,#1D9E75
11118386828_7403954632,,Other,residential,67.41904888374702,0,0.2982,43.54,31.0,-17.829502,31.052608,Free flow,#1D9E75
11301863629_11301863630,,Other,residential,45.352502200107565,0,0.2909,43.94,30.0,-17.831939,31.049418,Free flow,#1D9E75
11301863629_312794943,Brooks Drive,Other,residential,225.2434765588031,0,0.2876,44.13,29.0,-17.833513,31.05096,Free flow,#1D9E75
11301863629_312794952,Brooks Drive,Other,residential,42.080836040753816,0,0.2939,43.78,31.0,-17.843507,31.054561,Free flow,#1D9E75
11301863630_11301863629,,Other,residential,45.352502200107565,0,0.2803,44.53,28.0,-17.837067,31.04303,Free flow,#1D9E75
11301863633_6163166529,,Other,residential,36.17930263547274,0,0.2895,44.02,29.0,-17.834867,31.042814,Free flow,#1D9E75
11308999649_282780112,Sam Nujoma Street (2nd Street),Second Street,tertiary,94.61769459456988,1,0.3582,40.23,44.0,-17.821984,31.03925,Moderate,#BA7517
11308999649_282780140,Jason Moyo Avenue,Other,tertiary,331.7068206525683,1,0.2889,44.06,30.0,-17.82804,31.037224,Free flow,#1D9E75
11372729013_281642260,George Silundika Drive,Other,residential,114.75863982828128,0,0.2895,44.02,30.0,-17.845922,31.040888,Free flow,#1D9E75
11372729014_281624949,George Silundika Drive,Other,residential,133.90850834243977,0,0.2798,44.56,28.0,-17.828206,31.054058,Free flow,#1D9E75
11372902255_282780112,Agostinho Neto Avenue,Other,residential,146.3333312153283,0,0.2858,44.22,29.0,-17.834226,31.043992,Free flow,#1D9E75
11372902256_281638884,Agostinho Neto Avenue,Other,residential,126.4741781338528,0,0.2516,46.11,25.0,-17.836703,31.057446,Free flow,#1D9E75
11622423590_11622423593,,Other,residential,88.45194449631207,0,0.2658,45.33,28.0,-17.825765,31.052865,Free flow,#1D9E75
11622423593_11622423590,,Other,residential,88.45194449631207,0,0.2731,44.92,28.0,-17.822205,31.033702,Free flow,#1D9E75
11622423593_277314394,Patrice Lumumba Street,Other,residential,66.65408210419763,1,0.3011,43.38,30.0,-17.823052,31.058798,Moderate,#BA7517
11622423594_11622423595,,Other,residential,103.00466453633204,0,0.3066,43.08,31.0,-17.83808,31.060289,Moderate,#BA7517
11622423595_11622423594,,Other,residential,103.00466453633204,0,0.2887,44.06,30.0,-17.833582,31.043025,Free flow,#1D9E75
11622423595_281617037,Patrice Lumumba Street,Other,residential,63.545973724421046,1,0.2813,44.47,29.0,-17.828145,31.056552,Free flow,#1D9E75
1206075490_281617929,Fidel Castro Road,Other,secondary,108.06772837776128,1,0.2815,44.46,29.0,-17.822676,31.044339,Free flow,#1D9E75
1206075490_3519885238,Fidel Castro Road,Other,secondary_link,17.5595339713116,1,0.2747,44.84,29.0,-17.835024,31.053467,Free flow,#1D9E75
12062946368_7401648971,,Other,unclassified,490.0031342109117,0,0.2693,45.13,28.0,-17.832533,31.040436,Free flow,#1D9E75
1229316394_281615553,Bank Street,Other,secondary,91.82207503164716,1,0.294,43.77,30.0,-17.840348,31.035379,Free flow,#1D9E75
1229316394_281619746,Chinhoyi Street,Other,tertiary,164.07008066390532,1,0.2945,43.74,30.0,-17.841111,31.04887,Free flow,#1D9E75
1229316879_1229316394,Chinhoyi Street,Other,tertiary,253.8635606729061,1,0.2715,45.01,28.0,-17.82406,31.051349,Free flow,#1D9E75
1229316879_281615547,Robert Mugabe Road,Robert Mugabe Rd,secondary,98.78252558651604,1,0.3836,38.84,55.0,-17.819445,31.048728,Moderate,#BA7517
1229317288_288504945,,Other,primary,37.69647839502556,1,0.2993,43.48,31.0,-17.831568,31.041206,Free flow,#1D9E75
1229317295_282836312,,Other,primary_link,31.704554256648372,1,0.2904,43.97,30.0,-17.822439,31.048707,Free flow,#1D9E75
1229317295_3518285985,,Other,primary,22.979832104564004,1,0.2602,45.63,28.0,-17.827887,31.055109,Free flow,#1D9E75
12518074231_12518074232,,Other,residential,89.10735610978705,0,0.2713,45.02,28.0,-17.836433,31.052103,Free flow,#1D9E75
12518074232_12518074231,,Other,residential,89.10735610978705,0,0.2931,43.82,30.0,-17.827889,31.054278,Free flow,#1D9E75
12518074232_283453914,Harare Road,Other,residential,244.44653240237216,0,0.2997,43.45,30.0,-17.817902,31.046122,Free flow,#1D9E75
12518074232_283454138,Harare Road,Other,residential,260.6309447942846,0,0.2958,43.67,30.0,-17.831261,31.063741,Free flow,#1D9E75
12520134517_12520134518,Samora Machel Avenue,Samora Machel Ave,trunk,45.3163501157566,1,0.4294,36.32,67.0,-17.817676,31.041281,Moderate,#BA7517
12520134518_308516484,Samora Machel Avenue,Samora Machel Ave,trunk,123.0964513860867,1,0.4275,36.42,66.0,-17.853194,31.057196,Moderate,#BA7517
12888747173_275396087,Bath Road,Other,residential,121.1738941555476,0,0.2783,44.64,29.0,-17.82398,31.063839,Free flow,#1D9E75
12926012091_6167542751,,Other,residential,162.51481832176893,0,0.2675,45.23,29.0,-17.830218,31.057133,Free flow,#1D9E75
13009933863_281630333,Chiremba Road,Other,secondary,25.265758656270982,0,0.281,44.49,29.0,-17.833495,31.050595,Free flow,#1D9E75
13009933863_312831762,Tait Avenue,Other,residential,108.42060914227048,0,0.2912,43.92,30.0,-17.830178,31.047479,Free flow,#1D9E75
13009933863_6163189119,Horatio Avenue,Other,residential,14.821727634493902,0,0.2867,44.18,29.0,-17.847828,31.062444,Free flow,#1D9E75
13009933863_6163189120,Chiremba Road,Other,secondary,28.5473979480168,0,0.2718,45.0,28.0,-17.832822,31.03892,Free flow,#1D9E75
13015945801_281626437,,Other,residential,92.55141260083032,0,0.263,45.48,27.0,-17.827926,31.043252,Free flow,#1D9E75
13102753664_13102753665,,Other,residential,34.74206112807664,0,0.2871,44.15,29.0,-17.818412,31.048729,Free flow,#1D9E75
13102753665_13102753664,,Other,residential,34.74206112807664,0,0.2996,43.46,31.0,-17.835356,31.064372,Free flow,#1D9E75
13102753665_281614334,Mazowe Street,Other,residential,92.83488929647942,0,0.2609,45.6,26.0,-17.83782,31.056165,Free flow,#1D9E75
13102753665_281614377,Mazowe Street,Other,residential,93.043191715986,0,0.2957,43.68,30.0,-17.835216,31.043272,Free flow,#1D9E75
13238919217_6165037112,,Other,residential,79.18839069834223,0,0.2715,45.02,28.0,-17.823187,31.049564,Free flow,#1D9E75
