u,v,key,osmid,name,highway,length,maxspeed,oneway,artery
275392927,275393432,0,25923131,Sam Nujoma Street (2nd St. Extension),trunk,162.23704665469293,80,False,Other
275392927,281614337,0,25923131,Sam Nujoma Street (2nd St. Extension),trunk,362.3209537154638,80,False,Other
275392927,275395690,0,25279945,Cork Road,residential,196.11855530068894,,False,Other
275392927,2926277001,0,25279945,Smith Street,residential,291.70294013213476,,False,Other
275393242,275393554,0,25279910,East Road,residential,164.90887386823482,,False,Other
275393242,275394031,0,25279945,Cork Road,residential,202.13383103347272,,False,Other
275393242,275395690,0,25279945,Cork Road,residential,157.80750440196283,,False,Other
275393355,275393756,0,25279842,Searle Road,residential,83.4804543081465,,False,Other
275393355,277991344,0,25279945,Cork Road,residential,225.56064239442327,,False,Other
275393355,275394031,0,25279945,Cork Road,residential,361.35672179000454,,False,Other
275393391,275393554,0,25279924,Lanark Road,residential,264.8960249022179,,False,Other
275393391,275393421,0,25279924,Lanark Road,residential,342.7954475044378,,False,Other
275393391,275394026,0,25279948,King George Road,secondary,109.58820384976127,60,False,Other
275393391,275394031,0,25279948,King George Road,secondary,162.43002097026712,60,False,Other
275393421,275393756,0,25279842,Searle Road,residential,76.09560032876301,,False,Other
275393421,282041080,0,25858213,,residential,21.135485823383775,,False,Other
275393421,275393391,0,25279924,Lanark Road,residential,342.7954475044378,,False,Other
275393432,275393554,0,25279924,Lanark Road,residential,302.32033000707844,,False,Other
275393432,275395882,0,25923131,Sam Nujoma Street (2nd St. Extension),trunk,155.62353171817443,80,False,Other
275393432,275392927,0,25923131,Sam Nujoma Street (2nd St. Extension),trunk,162.23704665469293,80,False,Other
275393432,2926277001,0,25279924,Lanark Road,residential,201.86177756252076,,False,Other
275393554,275393242,0,25279910,East Road,residential,164.90887386823482,,False,Other
275393554,275393432,0,25279924,Lanark Road,residential,302.32033000707844,,False,Other
275393554,275395899,0,25279910,East Road,residential,168.13751195439093,,False,Other
275393554,275393391,0,25279924,Lanark Road,residential,264.8960249022179,,False,Other
275393601,275393756,0,25279864,Kay Gardens,residential,93.4005344568742,,False,Other
275393672,275393756,0,25279864,Kay Gardens,residential,73.22668729382362,,False,Other
275393756,275393421,0,25279842,Searle Road,residential,76.09560032876301,,False,Other
275393756,275393355,0,25279842,Searle Road,residential,83.4804543081465,,False,Other
275393756,275393672,0,25279864,Kay Gardens,residential,73.22668729382362,,False,Other
275393756,275393601,0,25279864,Kay Gardens,residential,93.4005344568742,,False,Other
275393969,275592922,0,25302061,Sydney Malunga Road,tertiary,159.6795268278623,,False,Other
275393969,11096588496,0,217872307,King George Road,secondary,53.04909176884104,60,False,Other
275393969,277991364,0,25279948,King George Road,secondary,222.59531011233446,60,False,Other
275394026,275592520,0,25302063,Lonsdale Road East,residential,39.05317599630677,,False,Other
275394026,277991364,0,25279948,King George Road,secondary,136.2983046929177,60,False,Other
275394026,275393391,0,25279948,King George Road,secondary,109.58820384976129,60,False,Other
275394026,275592477,0,25302065,Lonsdale Road,residential,307.75396584716435,,False,Other
275394031,275393355,0,25279945,Cork Road,residential,361.35672179000454,,False,Other
275394031,275393242,0,25279945,Cork Road,residential,202.13383103347272,,False,Other
275394031,275393391,0,25279948,King George Road,secondary,162.43002097026712,60,False,Other
275394031,277991489,0,25511987,Leopold Takawira Avenue,secondary,358.12652333092916,60,False,Other
275395690,281616258,0,25279908,Mazowe Street,residential,49.85084100597505,,False,Other
275395690,275393242,0,25279945,Cork Road,residential,157.80750440196283,,False,Other
275395690,275392927,0,25279945,Cork Road,residential,196.11855530068894,,False,Other
275395694,2631138048,0,25279901,Josiah Tongogara Avenue,secondary,196.38706475907767,60,False,Other
275395694,279220806,0,25279901,Josiah Tongogara Avenue,secondary,195.85343067904364,60,False,Other
275395694,277995203,0,25279908,Mazowe Street,residential,193.9068011734958,,False,Other
275395694,281614334,0,25279908,Mazowe Street,residential,205.07051858022703,,False,Other
275395789,277314826,0,25279862,Herbert Ushewokunze Avenue,residential,6.363401080366061,,False,Other
275395789,275395925,0,25279862,Herbert Ushewokunze Avenue,residential,177.67510852868304,,False,Other
275395789,277317253,0,25446735,Patrice Lumumba Street,residential,155.86019956026928,,True,Other
275395808,6178005582,0,25279901,Josiah Tongogara Avenue,secondary,10.396447807093754,60,False,Other
275395808,2631138048,0,25279901,Josiah Tongogara Avenue,secondary,159.0387110231291,60,False,Other
275395842,277995194,0,25279901,Josiah Tongogara Avenue,secondary,146.09237698839715,60,False,Other
275395842,279210336,0,25446738,Blackiston Steet,residential,156.73963353402175,,False,Other
275395842,277317215,0,25279901,Josiah Tongogara Avenue,secondary,257.51644792233134,60,False,Other
275395842,277314417,0,25446738,Blackiston Steet,residential,195.0958568607037,,False,Other
275395882,275395899,0,25279848,Philips Avenue,residential,253.10261312943786,,False,Other
275395882,275393432,0,25923131,Sam Nujoma Street (2nd St. Extension),trunk,155.62353171817443,80,False,Other
275395882,3011858770,0,25279848,Philips Avenue,residential,278.01994745597347,,False,Other
275395899,275395882,0,25279848,Philips Avenue,residential,253.10261312943786,,False,Other
275395899,279201496,0,25279910,East Road,residential,49.28700364979956,,False,Other
275395899,275393554,0,25279910,East Road,residential,168.13751195439093,,False,Other
275395911,275395925,0,25279862,Herbert Ushewokunze Avenue,residential,16.851219702050567,,False,Other
275395911,277995216,0,25279862,Herbert Ushewokunze Avenue,residential,158.60309023934764,,False,Other
275395911,277317259,0,345324769,Fourth Street,secondary,160.30000058101473,60,True,Other
275395925,275395911,0,25279862,Herbert Ushewokunze Avenue,residential,16.851219702050567,,False,Other
275395925,275395789,0,25279862,Herbert Ushewokunze Avenue,residential,177.67510852868304,,False,Other
275395925,277314770,0,25279870,Fourth Street/ S.V Muzenda,secondary,161.1279832540259,60,True,Other
275396087,12888747173,0,25279943,Bath Road,residential,121.1738941555476,,False,Other
275396087,279201496,0,25279910,East Road,residential,124.11509640992762,,False,Other
275408449,283426425,0,25281196,Bodle Avenue,residential,155.17204925591082,,False,Other
275408449,281643286,0,25281196,Bodle Avenue,residential,401.53218520006635,,False,Other
275408449,283427108,0,25981023,Morris Road,residential,134.1147675399421,,False,Other
275592477,275394026,0,25302065,Lonsdale Road,residential,307.75396584716435,,False,Other
275592477,277317134,0,25618954,Kenny Road,residential,125.01392426589764,,False,Other
275592477,277991345,0,25618954,Kenny Road,residential,260.4986649182289,,False,Other
275592520,275394026,0,25302063,Lonsdale Road East,residential,39.05317599630677,,False,Other
275592520,275592825,0,25302062,De Noon Road,residential,105.27730453784125,,False,Other
275592520,7404728344,0,25302063,Lonsdale Road East,residential,253.43477378086558,,False,Other
275592825,4020337966,0,399300922,,residential,98.63962922290642,,False,Other
275592825,4020337968,0,399300922,,residential,81.7997361417195,,False,Other
275592825,275592520,0,25302062,De Noon Road,residential,105.27730453784125,,False,Other
275592922,277315210,0,25302061,Sydney Malunga Road,tertiary,280.1632649911729,,False,Other
275592922,282034762,0,25302060,Mold Crescent,residential,360.35975774918114,,False,Other
275592922,275393969,0,25302061,Sydney Malunga Road,tertiary,159.6795268278623,,False,Other
275594390,283352969,0,25302076,Bishop Gaul Avenue,secondary,201.12865662320684,80,False,Other
275594390,275594717,0,525345886,Bishop Gaul Avenue,secondary,153.23827284772622,80,False,Other
275594433,277315631,0,25302076,Bishop Gaul Avenue,secondary,129.08524654839033,80,False,Other
275594433,6163107958,0,25302076,Bishop Gaul Avenue,secondary,232.29383341281465,80,False,Other
275594433,277991891,0,25512019,Canary Close,residential,51.31678281088352,,False,Other
275594613,275594390,0,25302071,Bishop Gaul Avenue,secondary_link,244.25884385561585,60,True,Other
275594613,275594717,0,25302074,,secondary,141.8098574852223,60,False,Other
275594613,281793557,0,450846485,Bishop Gaul Avenue,secondary,260.94115608467513,,False,Other
275594717,275594613,0,25302074,,secondary,141.80985748522232,60,False,Other
275594717,277315660,0,25446799,Sipolilo Battle Street,secondary,462.3318828407887,60,False,Other
275594717,275594390,0,525345886,Bishop Gaul Avenue,secondary,153.23827284772622,80,False,Other
275595874,275597512,0,25302087,Prince Edward Street,secondary,58.70828814774781,,False,Other
275595874,277995194,0,25279901,Josiah Tongogara Avenue,secondary,140.45245290246277,60,False,Other
275595874,277317206,0,25302070,Princes Road,secondary,693.3293690062924,80,False,Other
275595874,277314419,0,25302087,Prince Edward Street,secondary,191.7812687716954,,False,Other
275597512,275595874,0,25302087,Prince Edward Street,secondary,58.70828814774781,,False,Other
275597512,308502080,0,25302087,Prince Edward Street,secondary,187.55604799834455,,False,Other
275597512,277995163,0,25512034,Cleveland Avenue,residential,347.7519717551711,,False,Other
275599021,277314831,0,25446688,Herbert Ushewokunze Avenue,residential,142.06731843907426,,False,Other
275599021,277314419,0,25302087,Prince Edward Street,secondary,163.28033830593714,,False,Other
275599021,277315732,0,25302087,Prince Edward Street,secondary,159.00763342457304,,False,Other
275603431,279220760,0,25618924,,residential,45.802863517708545,,False,Other
275603431,277315410,0,25618924,,residential,20.644345356536295,,False,Other
275603431,5168881674,0,532698240,Samora Machel Avenue,trunk,70.99089104996851,80,True,Samora Machel Ave
275604131,288543793,0,25281196,Bodle Avenue,residential,82.35615233764825,,False,Other
275604131,283426425,0,25281196,Bodle Avenue,residential,114.69197695664182,,False,Other
275604131,283425974,0,657458414,Wimbledon Drive,residential,84.02165695527292,,False,Other
275604131,283425953,0,26336678,Meredith Drive,residential,175.0150533079754,,False,Other
277313352,277313366,0,25446755,Fifth Street,tertiary,162.98586175023692,60,False,Other
277313352,6162546992,0,25446827,Fifth Street,tertiary,315.9143353532562,60,True,Other
277313366,277313352,0,25446755,Fifth Street,tertiary,162.9858617502369,60,False,Other
277313366,277992023,0,398932145,,residential,303.41611418866586,,False,Other
277313968,4016684532,0,398932120,Borrowdale Road,secondary,430.79464585766755,70,False,Other
277313968,282779731,0,398932121,Borrowdale Road,secondary,63.32900503453057,70,True,Other
277314394,277314847,0,345388972,Herbert Chitepo Avenue,secondary,11.41573338044265,,False,Other
277314394,277314796,0,345388972,Herbert Chitepo Avenue,secondary,160.76244814678958,,False,Other
277314394,277317252,0,376750953,Patrice Lumumba Street,residential,130.24474003521212,,True,Other
277314417,275395842,0,25446738,Blackiston Steet,residential,195.0958568607037,,False,Other
277314417,277314830,0,25446738,Blackiston Steet,residential,160.31538758666682,,False,Other
277314417,282873221,0,25446750,Josiah Chinamano Avenue,residential,142.1465589396769,,False,Other
277314417,277315174,0,25446750,Josiah Chinamano Avenue,residential,143.44025554727563,,False,Other
277314419,277315174,0,25446750,Josiah Chinamano Avenue,residential,140.74003970553895,,False,Other
277314419,275595874,0,25302087,Prince Edward Street,secondary,191.7812687716954,,False,Other
277314419,275599021,0,25302087,Prince Edward Street,secondary,163.28033830593714,,False,Other
277314449,277995099,0,25446738,Blackiston Steet,residential,158.5137874706119,,False,Other
277314449,277995187,0,25512031,Lezard Avenue,residential,234.09215356363933,,False,Other
277314449,277995176,0,25512031,Lezard Avenue,residential,282.04498312246074,,False,Other
277314458,279220805,0,25446750,Josiah Chinamano Avenue,residential,200.0204344161035,,False,Other
277314458,282873221,0,25446750,Josiah Chinamano Avenue,residential,118.39467064675146,,False,Other
277314458,277317215,0,25821095,Leopold Takawira Street,secondary,192.64665724975174,80,False,Other
277314458,277314829,0,25821095,Leopold Takawira Street,secondary,162.06835368647972,80,False,Other
277314482,277314769,0,25446750,Josiah Chinamano Avenue,residential,8.457721606469802,,False,Other
277314482,277314773,0,25446750,Josiah Chinamano Avenue,residential,166.7326720962602,,False,Other
277314482,275395808,0,376750953,Patrice Lumumba Street,residential,195.0411483729261,,True,Other
277314667,6167345565,0,25618692,Churchil Avenue East,secondary,52.878749200257545,60,True,Other
277314670,6167345560,0,25618684,Arden Road,residential,41.05496417675323,,True,Other
277314670,317034918,0,26569629,Arden Road,residential,186.97650019800625,,False,Other
277314693,277316586,0,141404552,ED Mnangagwa Road,trunk,661.6206866568691,80,False,Other
277314693,3820243175,0,399695215,ED Mnangagwa Road,trunk,83.12427681170765,80,True,Other
277314699,277315173,0,399695204,ED Mnangagwa Road,trunk,154.89530270206222,60,False,Other
277314699,282779573,0,399695205,ED Mnangagwa Road,trunk,242.8390660914855,60,False,Other
277314702,281617907,0,25446797,Enterprise Road,trunk,185.27595154470532,60,False,Other
277314702,282945144,0,25939389,ED Mnangagwa Road,trunk,37.06431420209208,80,True,Other
277314704,282945173,0,305399633,ED Mnangagwa Road,primary,21.579820765750085,80,True,Other
277314704,281617693,0,305399672,Samora Machel Avenue,trunk,14.965029189579914,,True,Samora Machel Ave
277314727,277314730,0,305399672,Samora Machel Avenue,trunk,148.7744242487438,,True,Samora Machel Ave
277314728,277314704,0,25446795,Samora Machel Avenue,trunk,26.12967251712479,,True,Samora Machel Ave
277314728,282945173,0,25939381,,trunk_link,39.40516480827049,,True,Other
277314730,282945129,0,25820671,Eighth Street,residential,9.731879930644462,,False,Other
277314730,281624923,0,305399672,Samora Machel Avenue,trunk,178.20067852287323,,True,Samora Machel Ave
277314730,282779938,0,25821382,Kwame Nkrumah Avenue,residential,300.7406502827827,,False,Kwame Nkrumah Ave
277314769,277314482,0,25446750,Josiah Chinamano Avenue,residential,8.457721606469802,,False,Other
277314769,275395789,0,25446735,Patrice Lumumba Street,residential,160.50825176029483,,True,Other
277314769,277314770,0,25446750,Josiah Chinamano Avenue,residential,174.90587018077582,,False,Other
277314770,277314772,0,25446750,Josiah Chinamano Avenue,residential,17.476602863737252,,False,Other
277314770,277315712,0,25279870,Fourth Street/ S.V Muzenda,secondary,163.9102218081178,60,True,Other
277314770,277314769,0,25446750,Josiah Chinamano Avenue,residential,174.90587018077582,,False,Other
277314772,277314770,0,25446750,Josiah Chinamano Avenue,residential,17.476602863737252,,False,Other
277314772,275395911,0,345324769,Fourth Street,secondary,161.24166156327493,60,True,Other
277314772,277993769,0,25446750,Josiah Chinamano Avenue,residential,156.94568305816728,,False,Other
277314773,277314827,0,25923131,Sam Nujoma Street (2nd St. Extension),trunk,162.2376632859217,80,False,Other
277314773,277314482,0,25446750,Josiah Chinamano Avenue,residential,166.7326720962602,,False,Other
277314773,277995203,0,25446750,Josiah Chinamano Avenue,residential,195.27916992288965,,False,Other
277314773,2631138048,0,25923131,Sam Nujoma Street (2nd St. Extension),trunk,191.82782193678432,80,False,Other
277314796,2631138049,0,25923131,Sam Nujoma Street (2nd St. Extension),trunk,124.5100480495346,80,False,Other
277314796,277314394,0,345388972,Herbert Chitepo Avenue,secondary,160.76244814678958,,False,Other
277314796,281617143,0,345388972,Herbert Chitepo Avenue,secondary,81.20182255655331,,False,Other
277314796,277317251,0,25923131,Sam Nujoma Street (2nd St. Extension),trunk,131.9643268333109,80,False,Other
277314817,3801390619,0,217679676,Patrice Lumumba Street,residential,39.22613105179794,,False,Other
277314820,281625021,0,399695205,ED Mnangagwa Road,trunk,445.3116712633705,60,False,Other
277314820,4023946054,0,399695210,ED Mnangagwa Road,trunk,148.9708807870628,80,True,Other
277314826,275395789,0,25279862,Herbert Ushewokunze Avenue,residential,6.363401080366061,,False,Other
277314826,277314827,0,25446688,Herbert Ushewokunze Avenue,residential,164.87606119206896,,False,Other
277314826,277314482,0,376750953,Patrice Lumumba Street,residential,162.27924163822937,,True,Other
277314827,277314828,0,25446688,Herbert Ushewokunze Avenue,residential,196.09873835051337,,False,Other
277314827,277314773,0,25923131,Sam Nujoma Street (2nd St. Extension),trunk,162.2376632859217,80,False,Other
277314827,277314826,0,25446688,Herbert Ushewokunze Avenue,residential,164.87606119206896,,False,Other
277314827,277317251,0,25923131,Sam Nujoma Street (2nd St. Extension),trunk,156.93547715536903,80,False,Other
277314828,277314827,0,25446688,Herbert Ushewokunze Avenue,residential,196.09873835051337,,False,Other
277314828,279220808,0,25446688,Herbert Ushewokunze Avenue,residential,198.82272777258072,,False,Other
277314828,277315727,0,25279908,Mazowe Street,residential,160.6449151570368,,False,Other
277314828,277995203,0,25279908,Mazowe Street,residential,161.40926969685935,,False,Other
277314829,279220808,0,25446688,Herbert Ushewokunze Avenue,residential,200.53781472154736,,False,Other
277314829,277314830,0,25446688,Herbert Ushewokunze Avenue,residential,261.6483555605502,,False,Other
277314829,277314458,0,25821095,Leopold Takawira Street,secondary,162.06835368647972,80,False,Other
277314829,277315728,0,25821095,Leopold Takawira Street,secondary,157.7839306459176,80,False,Other
277314830,277314831,0,25446688,Herbert Ushewokunze Avenue,residential,139.06434840778343,,False,Other
277314830,277314829,0,25446688,Herbert Ushewokunze Avenue,residential,261.6483555605502,,False,Other
